,Transaction_id,customer_id,Date,Product,Gender,Device_Type,Category,Customer_Login_type,Delivery_Type,Quantity,Amount US$,Individual_Price_US$
0,40170,1348959766,11/14/2013,Hair Band,Female,Web,Accessories,Member,one-day deliver,12,6910,576
1,76028,1645228017,12/21/2013,Jean,Female,Web,Clothing,Guest,one-day deliver,16,641,40
2,17894,1610000572,10/10/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,12,1647,137
3,17949,2217960309,10/10/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,0,0
4,17951,2219304866,10/10/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,22,5298,241
5,18016,1980331295,10/10/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,19,4509,237
6,18902,1847892475,10/12/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,0,0
7,18967,1649911553,10/13/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,1499,88
8,19180,1903809905,10/13/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,16,2000,125
9,19203,1411855932,10/13/2013,Shirts,Male,Web,Clothing,Member,one-day delivery,21,3260,155
10,19340,1769953196,10/13/2013,Shirts,Male,Web,Clothing,Member,one-day delivery,19,17837,939
11,19404,1568148818,10/14/2013,Shirts,Male,Web,Clothing,Member,one-day delivery,14,1016,73
12,19427,1751652831,10/14/2013,Shirts,Male,Web,Clothing,Member,one-day delivery,14,4628,331
13,19592,2231859892,10/14/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,20,570,29
14,19932,1535745421,10/15/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,12,3000,250
15,20055,1922087137,10/15/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,22,5573,253
16,20315,2262467094,10/15/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,19,5349,282
17,20321,2268641437,10/15/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,2500,156
18,20436,1727052876,10/15/2013,Shirts,Male,Web,Clothing,Member,Normal Delivery,15,6900,460
19,20535,1674613702,10/15/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,21,1794,85
20,20693,1921733731,10/16/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,12,6000,500
21,22314,1936150747,10/18/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,20,584,29
22,22421,1229841159,10/18/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,21,5217,248
23,22458,1586690479,10/19/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,13,300,23
24,22682,1848085677,10/19/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,1999,125
25,22740,1872369353,10/19/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,699,44
26,22907,1519749240,10/19/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,499,28
27,23261,1439048077,10/20/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,21,7395,352
28,23490,1361902722,10/20/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,13,1999,154
29,23501,1535495415,10/20/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,22,299,14
30,23647,1426412764,10/21/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,15,0,0
31,24184,2089909446,10/22/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,18,1499,83
32,24329,1877861798,10/22/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,16,2000,125
33,24339,2038650277,10/22/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,16,274,17
34,24375,1354478949,10/22/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,19,3233,170
35,24797,1745486469,10/23/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,15,3998,267
36,24861,1780473175,10/23/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,2500,125
37,24901,2059377097,10/23/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,13,1697,131
38,24938,1203874789,10/23/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,2995,150
39,25156,1385115526,10/23/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,6049,378
40,25186,1716161886,10/23/2013,Jean,Female,Web,Clothing,Member,one-day deliver,19,2733,144
41,25398,1755787126,10/24/2013,Shirt,Male,Web,Clothing,Guest,one-day deliver,21,3541,169
42,25402,1813834993,10/24/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,2899,145
43,25407,1296910577,10/24/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,22,800,36
44,25558,1307863249,10/24/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,19,1136,60
45,25575,1368308030,10/24/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,15,7100,473
46,25608,2130350276,10/24/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,21,2300,110
47,25657,1509476167,10/24/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,8000,500
48,25674,1582647133,10/24/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,15,5391,359
